puestos,codigo_departamento_indec
5448,2000
114,2000
571,2000
-99,2000
2701,2000
165,2000
359,2000
1384,2000
15326,2000
3557,2000
362,2000
7420,2000
13601,2000
3843,2000
702,2000
3109,2000
4291,2000
1124,2000
8412,2000
9735,2000
4851,2000
2026,2000
2275,2000
5389,2000
3851,2000
3797,2000
3250,2000
5006,2000
694,2000
1665,2000
1793,2000
1175,2000
3368,2000
43,2000
94,2000
1553,2000
87,2000
16707,2000
7136,2000
5563,2000
11406,2000
50704,2000
63487,2000
26192,2000
1648,2000
1875,2000
13090,2000
3685,2000
7886,2000
33504,2000
7426,2000
4773,2000
9998,2000
11635,2000
34896,2000
3311,2000
24658,2000
24348,2000
5630,2000
18107,2000
17418,2000
14471,2000
7258,2000
1858,2000
9260,2000
1537,2000
206,2000
1513,2000
6259,2000
6029,2000
15436,2000
13129,2000
25003,2000
67858,2000
43358,2000
3424,2000
437,2000
1626,2000
577,2000
3291,2000
6971,2000
62302,2000
1032,2000
8108,2000
2798,2000
432,6007
-99,6007
-99,6007
3,6007
126,6007
4,6007
7,6007
-99,6007
11,6007
5,6007
6,6007
3,6007
6,6007
-99,6007
40,6007
-99,6007
4,6007
17,6007
-99,6007
3,6007
-99,6007
-99,6007
4,6007
71,6007
-99,6007
16,6007
44,6007
3,6007
43,6007
234,6007
207,6007
71,6007
4,6007
5,6007
33,6007
23,6007
-99,6007
9,6007
8,6007
7,6007
17,6007
8,6007
3,6007
23,6007
44,6007
9,6007
5,6007
-99,6007
-99,6007
3,6007
3,6007
3,6007
11,6007
7,6007
14,6007
22,6007
14,6007
180,6007
20,6007
8,6007
6,6007
-99,6007
70,6007
-99,6007
9,6007
-99,6007
370,6014
-99,6014
-99,6014
-99,6014
106,6014
-99,6014
-99,6014
-99,6014
-99,6014
-99,6014
-99,6014
-99,6014
-99,6014
4,6014
-99,6014
-99,6014
-99,6014
-99,6014
-99,6014
-99,6014
-99,6014
27,6014
16,6014
7,6014
4,6014
16,6014
128,6014
151,6014
92,6014
4,6014
6,6014
14,6014
11,6014
10,6014
-99,6014
4,6014
10,6014
10,6014
9,6014
20,6014
21,6014
9,6014
3,6014
-99,6014
-99,6014
9,6014
-99,6014
5,6014
8,6014
4,6014
121,6014
28,6014
-99,6014
-99,6014
9,6014
-99,6014
20,6014
3,6014
3,6014
299,6021
74,6021
3,6021
-99,6021
3,6021
10,6021
4,6021
3,6021
16,6021
4,6021
17,6021
5,6021
10,6021
4,6021
-99,6021
4,6021
3,6021
-99,6021
16,6021
-99,6021
9,6021
4,6021
8,6021
10,6021
232,6021
106,6021
67,6021
3,6021
-99,6021
-99,6021
26,6021
-99,6021
15,6021
9,6021
5,6021
-99,6021
11,6021
8,6021
4,6021
22,6021
13,6021
5,6021
-99,6021
3,6021
11,6021
11,6021
12,6021
10,6021
102,6021
38,6021
19,6021
3,6021
3,6021
29,6021
3,6021
-99,6021
319,6028
4,6028
37,6028
52,6028
5,6028
29,6028
23,6028
3768,6028
579,6028
33,6028
804,6028
907,6028
1012,6028
228,6028
728,6028
789,6028
208,6028
891,6028
620,6028
1310,6028
1309,6028
740,6028
1938,6028
306,6028
736,6028
740,6028
1158,6028
112,6028
344,6028
247,6028
111,6028
428,6028
4,6028
11,6028
445,6028
3,6028
2891,6028
1988,6028
1654,6028
1257,6028
4569,6028
9132,6028
6404,6028
195,6028
105,6028
1698,6028
608,6028
872,6028
4341,6028
334,6028
159,6028
430,6028
648,6028
1057,6028
149,6028
1013,6028
1201,6028
255,6028
1097,6028
651,6028
976,6028
727,6028
40,6028
261,6028
144,6028
15,6028
111,6028
1708,6028
278,6028
3964,6028
3238,6028
2091,6028
5750,6028
4335,6028
841,6028
114,6028
84,6028
36,6028
657,6028
787,6028
3716,6028
116,6028
925,6028
227,6028
199,6035
13,6035
35,6035
88,6035
7,6035
42,6035
59,6035
1562,6035
522,6035
59,6035
586,6035
884,6035
872,6035
145,6035
619,6035
733,6035
275,6035
735,6035
801,6035
820,6035
492,6035
308,6035
1420,6035
316,6035
512,6035
949,6035
425,6035
173,6035
247,6035
276,6035
145,6035
930,6035
15,6035
349,6035
9,6035
1393,6035
1020,6035
968,6035
1199,6035
4321,6035
6806,6035
4228,6035
229,6035
74,6035
2143,6035
566,6035
769,6035
3627,6035
440,6035
147,6035
491,6035
817,6035
1416,6035
221,6035
1589,6035
1736,6035
360,6035
872,6035
905,6035
892,6035
563,6035
46,6035
351,6035
90,6035
15,6035
138,6035
1057,6035
268,6035
2301,6035
3027,6035
2197,6035
3852,6035
3270,6035
295,6035
18,6035
150,6035
22,6035
703,6035
744,6035
3369,6035
92,6035
699,6035
206,6035
784,6042
-99,6042
-99,6042
-99,6042
-99,6042
64,6042
6,6042
-99,6042
-99,6042
-99,6042
-99,6042
5,6042
-99,6042
37,6042
-99,6042
-99,6042
-99,6042
210,6042
4,6042
-99,6042
-99,6042
-99,6042
21,6042
14,6042
19,6042
6,6042
33,6042
108,6042
290,6042
52,6042
5,6042
4,6042
21,6042
44,6042
-99,6042
17,6042
7,6042
10,6042
29,6042
15,6042
7,6042
55,6042
14,6042
13,6042
6,6042
-99,6042
-99,6042
25,6042
4,6042
-99,6042
8,6042
12,6042
5,6042
88,6042
29,6042
5,6042
-99,6042
20,6042
8,6042
56,6042
8,6042
6,6042
1335,6049
3,6049
3,6049
3,6049
41,6049
3,6049
442,6049
17,6049
-99,6049
53,6049
20,6049
4,6049
3,6049
4,6049
12,6049
14,6049
36,6049
10,6049
6,6049
506,6049
14,6049
22,6049
6,6049
-99,6049
22,6049
-99,6049
4,6049
11,6049
212,6049
12,6049
98,6049
77,6049
258,6049
75,6049
188,6049
625,6049
1172,6049
482,6049
-99,6049
30,6049
26,6049
54,6049
140,6049
43,6049
3,6049
59,6049
21,6049
32,6049
4,6049
118,6049
73,6049
21,6049
151,6049
90,6049
48,6049
52,6049
-99,6049
7,6049
15,6049
31,6049
4,6049
38,6049
10,6049
88,6049
88,6049
144,6049
508,6049
306,6049
68,6049
20,6049
-99,6049
-99,6049
71,6049
58,6049
414,6049
5,6049
57,6049
29,6049
746,6056
4,6056
211,6056
422,6056
38,6056
57,6056
572,6056
2215,6056
532,6056
-99,6056
180,6056
90,6056
19,6056
156,6056
75,6056
145,6056
41,6056
2098,6056
154,6056
187,6056
174,6056
66,6056
763,6056
62,6056
160,6056
146,6056
44,6056
70,6056
175,6056
54,6056
231,6056
639,6056
6,6056
10,6056
356,6056
15,6056
1971,6056
1027,6056
1040,6056
1944,6056
3767,6056
7218,6056
4374,6056
113,6056
25,6056
2018,6056
175,6056
369,6056
1988,6056
267,6056
28,6056
387,6056
569,6056
410,6056
7,6056
648,6056
535,6056
140,6056
787,6056
411,6056
422,6056
1184,6056
30,6056
144,6056
47,6056
16,6056
159,6056
542,6056
160,6056
1365,6056
725,6056
968,6056
2869,6056
2310,6056
244,6056
5,6056
22,6056
3,6056
411,6056
519,6056
3302,6056
47,6056
466,6056
104,6056
1818,6063
-99,6063
3,6063
-99,6063
15,6063
4,6063
960,6063
13,6063
5,6063
23,6063
-99,6063
5,6063
55,6063
90,6063
3,6063
49,6063
5,6063
37,6063
-99,6063
3,6063
31,6063
21,6063
5,6063
3,6063
13,6063
150,6063
16,6063
38,6063
46,6063
61,6063
34,6063
197,6063
547,6063
798,6063
251,6063
-99,6063
-99,6063
35,6063
5,6063
67,6063
158,6063
6,6063
-99,6063
23,6063
35,6063
15,6063
4,6063
72,6063
34,6063
12,6063
130,6063
67,6063
37,6063
19,6063
33,6063
10,6063
11,6063
8,6063
13,6063
78,6063
8,6063
58,6063
67,6063
69,6063
286,6063
98,6063
30,6063
3,6063
5,6063
35,6063
39,6063
171,6063
32,6063
18,6063
414,6070
3,6070
3,6070
-99,6070
40,6070
-99,6070
966,6070
164,6070
6,6070
17,6070
246,6070
4,6070
152,6070
-99,6070
5,6070
86,6070
6,6070
-99,6070
8,6070
32,6070
112,6070
-99,6070
18,6070
11,6070
422,6070
-99,6070
-99,6070
7,6070
41,6070
4,6070
-99,6070
4,6070
104,6070
146,6070
212,6070
43,6070
200,6070
541,6070
282,6070
4,6070
-99,6070
47,6070
10,6070
25,6070
80,6070
4,6070
19,6070
10,6070
23,6070
35,6070
48,6070
15,6070
65,6070
43,6070
31,6070
52,6070
-99,6070
9,6070
-99,6070
7,6070
10,6070
168,6070
8,6070
120,6070
104,6070
121,6070
302,6070
118,6070
62,6070
-99,6070
28,6070
14,6070
511,6070
-99,6070
20,6070
10,6070
681,6077
-99,6077
-99,6077
-99,6077
617,6077
6,6077
67,6077
510,6077
87,6077
-99,6077
10,6077
25,6077
-99,6077
15,6077
3,6077
-99,6077
36,6077
-99,6077
-99,6077
90,6077
17,6077
-99,6077
-99,6077
-99,6077
45,6077
-99,6077
17,6077
43,6077
33,6077
153,6077
290,6077
488,6077
242,6077
10,6077
6,6077
15,6077
31,6077
4,6077
4,6077
17,6077
7,6077
8,6077
31,6077
20,6077
14,6077
51,6077
43,6077
50,6077
40,6077
3,6077
14,6077
-99,6077
-99,6077
6,6077
18,6077
-99,6077
77,6077
31,6077
29,6077
117,6077
60,6077
3,6077
-99,6077
10,6077
5,6077
46,6077
19,6077
4,6077
707,6084
-99,6084
3,6084
83,6084
121,6084
8,6084
13,6084
7,6084
-99,6084
-99,6084
5,6084
-99,6084
184,6084
-99,6084
8,6084
7,6084
3,6084
-99,6084
54,6084
-99,6084
14,6084
22,6084
13,6084
15,6084
292,6084
337,6084
81,6084
21,6084
4,6084
11,6084
36,6084
8,6084
14,6084
6,6084
7,6084
19,6084
10,6084
7,6084
31,6084
26,6084
12,6084
4,6084
-99,6084
-99,6084
5,6084
16,6084
3,6084
28,6084
51,6084
7,6084
120,6084
26,6084
-99,6084
63,6084
-99,6084
10,6084
4,6084
65,6084
22,6084
12,6084
186,6091
3,6091
35,6091
38,6091
13,6091
52,6091
30,6091
1432,6091
790,6091
52,6091
687,6091
353,6091
426,6091
205,6091
1032,6091
276,6091
126,6091
520,6091
577,6091
968,6091
1239,6091
501,6091
1054,6091
155,6091
349,6091
676,6091
282,6091
84,6091
141,6091
131,6091
71,6091
291,6091
12,6091
13,6091
251,6091
3,6091
1708,6091
1102,6091
990,6091
781,6091
2428,6091
4953,6091
3892,6091
184,6091
39,6091
962,6091
285,6091
582,6091
2209,6091
159,6091
47,6091
278,6091
338,6091
618,6091
65,6091
649,6091
751,6091
159,6091
634,6091
371,6091
439,6091
374,6091
24,6091
135,6091
53,6091
